Pressure,Diameter,WallThickness,TotalStress,Strain
10,88.043,9.885809915,5.936844469,1.039268349
15,93.478,9.409372381,9.933747333,1.103423631
20,101.087,8.809267351,15.29884371,1.193241025
40,121.739,7.491319409,43.33157766,1.437019292
60,114.13,7.931306241,57.55452094,1.347201898
80,107.609,8.348776826,68.7367233,1.270227364
100,101.087,8.809267351,76.49421853,1.193241025
120,97.826,9.057571577,86.39664183,1.154747856
140,102.174,8.729278462,109.2353435,1.206072082
160,108.696,8.276361905,140.077108,1.28305842
180,131.522,6.989358906,225.7910182,1.552498799
200,144.565,6.412260983,300.5765261,1.706459672
